key	speaker_gender	speaker_name	cs_text
7e3fd30b-9eed-4980-8fd9-1af519d90b99	Female	Areelu	"""A co já, pisatel těchto slov, polodémonka čarodějka známá jako Architektka Worldwoundu?"""
7b429f6b-3e17-4f01-a718-4aca9649ad42	Female	Areelu	"""Získala jsem víc, než jsem mohla doufat. Dosáhla jsem svého cíle, porazila jsem smrt - přede mnou leží nevýslovná moc a celá věčnost. Jak mám tu věčnost strávit? Ještě jsem se nerozhodl. Ale vím - ze zkušenosti vím -, že každý okamžik je k nezaplacení, pokud ho strávíte s tím, na kom vám záleží nejvíc."""
590bcea2-9527-4ed1-a941-d1061e3097a7	Female	Areelu	"""Přidala jsem se na stranu toho, proti komu jsem dříve bojovala. Viděla jsem omyl svého úsudku a správnost {mf|his|hers}. Pomohla jsem obnovit svět, který jsem zohavila. Zachraňovala jsem ho, hojila — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""
cd04e9ab-c34b-49ce-b0a7-25f064571101	Female	Areelu	"""Byl jsem poražen. Vítěz ušetřil můj život v gestu, které nebylo tak docela dobrodiním, ne tak docela dobročinností. Zůstal jsem bez naděje, bez šance najít znovu smysl života. Své zbývající dny jsem dožil v izolované chalupě daleko od všech, nikým nepotřebován, nikým neobjeven."""
102a4671-6e9d-45b6-a801-32d1706c9698	Female	Areelu	"""Byl jsem poražen a padl rukou toho, koho jsem se snažil proměnit. Můj experiment skončil neúspěchem a spolu s ním skončil i můj život."""
9fef8bad-d77c-45c3-ad34-32e1fa9ecb1d	Female	Areelu	"""Byla jsem poražena. Padla jsem rukou toho, koho jsem plánovala proměnit v budoucnosti, která nepřišla. Můj experiment skončil nezdarem dřív, než vůbec začal. Což znamená, že jsem zemřela nevinná, dřív než jsem mohla spáchat jakékoli hříchy vůči vesmíru."""
91678ddf-3aa5-4810-9d6b-ded9211100a1	Female	Areelu	"""Vyprávěl jsem vám příběh svého života, {g|Pharasma}Pharasma{/g}, paní z Graves. Nejen o svém životě, ale také o životě velitele. Věřím, že příběh tak slavné osobnosti by vzbudil zvědavost i u bohyně."""
37ef9f4c-f71b-4cda-aa01-33d3af24cc39	Female	Areelu	"""Přišla jsem sem říct, že {mf|On|Ona} a já už nejsme ve tvé moci. To je poslední, nejvýznamnější výsledek mého experimentu Transformace."""
14bb7f75-e64d-4b06-a11d-40f0decd2d05	Female	Areelu	"""Teď už víš všechno. Čekám na tvůj verdikt, bohyně."""
e8e08c11-ef47-4659-8161-f8795f262443	Female	Areelu	"""Kde je teď tvá proklamovaná vyrovnanost? Pokud uděláš takový krok, zapálíš válku, jež zatřese kosmem. Jsi na to připravena, Lady of Graves?"""
d43805ab-46b4-4088-a072-95639c475907	Female	Areelu	"""Předala jsem své poselství. Sbohem, Lady of Graves. Už se nesetkáme."""
e44c123f-c54d-4026-b380-d2c2f0e1b70c	Female	Areelu	"""Byla jsem poražena, avšak vítěz rozhodl nechat vše beze změny. Pokračovala jsem v životě — bez naděje, bez možnosti znovu najít smysl. Žila jsem ve Worldwoundu. Otevírala jsem nové trhliny a vedl démony na Golarion. Pokračovala jsem ve výzkumu magie, nikdy neuhýbaje od experimentů, které mnozí nazývali ‚nelidskými‘ — až do chvíle, kdy rána na mé hrudi vyžádala můj život."""
753fd1bf-cb7c-435d-8672-5b01f06dfb45	Female	Areelu	"""Můj experiment skončil úspěchem. Ve válce mezi Golarionem a Abyss jsem vystoupil jako vítěz. Trvalo sto let a milion smrti, než jsem přivedl zpět toho, komu byl tak krutě uťat život. A stálo to ještě jeden život — ten můj — aby {mf|him|her} mohl dál žít."""
07ce3fee-67b9-48dd-8124-e8555c8497a9	Female	Arueshalae	"{n}Arueshalae naslouchá Anevii se zaujetím. Když Anevie skončí, sukuba dlouho mlčí a pak si rázně otře oči.{/n} ""Děkuji ti, Anevie. Desna ti žehná! Myslím, že už rozumím. Myslím, že opravdu rozumím."" {n}Arueshalae se k tobě otočí. V jejích očích opět vidíš jiskřičku naděje, něco, co ti od tvé poslední návštěvy světa snů chybělo.{/n} ""{name}, I... Musíme tam jít znovu. Do světa snů. Teď už vím, jak tu hádanku vyřešit. Prosím, přijď si se mnou co nejdříve promluvit mezi čtyřma očima."" {n}Arueshalae nečeká na tvou odpověď a odchází.{/n}"
